Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAPL,Apple Inc. Common Stock,$141.66,0.00,0.00%,2456007584400.00,United States,1980,70149175,Technology,Computer Manufacturing
ACN,Accenture plc Class A Ordinary Shares (Ireland),$292.62,-6.75,-2.255%,185096110608.00,Ireland,2001,2107472,Technology,EDP Services
ADBE,Adobe Inc. Common Stock,$381.07,-6.65,-1.715%,180055575000.00,United States,1986,2243663,Technology,Computer Software: Prepackaged Software
ADI,Analog Devices Inc. Common Stock,$150.59,0.90,0.601%,78277589757.00,United States,,2048285,Technology,Semiconductors
ADSK,Autodesk Inc. Common Stock,$185.87,-6.61,-3.434%,40384384743.00,United States,,1814276,Technology,Computer Software: Prepackaged Software
AMAT,Applied Materials Inc. Common Stock,$97.61,0.25,0.257%,84915553708.00,United States,1972,4950116,Technology,Semiconductors
AMD,Advanced Micro Devices Inc. Common Stock,$86.16,-0.92,-1.056%,140213766246.00,United States,,74617543,Technology,Semiconductors
AMOV,America Movil S.A.B. de C.V. Class A American Depositary Shares,$20.243,-0.177,-0.867%,64666263500.00,Mexico,,850,Telecommunications,Telecommunications Equipment
AMX,America Movil S.A.B. de C.V. American Depository Receipt Series L,$20.37,-0.16,-0.779%,65071965000.00,Mexico,,1568416,Telecommunications,Telecommunications Equipment
ANET,Arista Networks Inc. Common Stock,$98.87,-0.95,-0.952%,30478016002.00,,2014,1340360,Technology,Computer peripheral equipment
ANSS,ANSYS Inc. Common Stock,$250.80,-6.15,-2.393%,21817122096.00,United States,1996,466036,Technology,Computer Software: Prepackaged Software
APH,Amphenol Corporation Common Stock,$66.12,0.27,0.41%,39482799207.00,United States,,2543884,Technology,Electrical Products
APP,Applovin Corporation Class A Common Stock,$38.34,-1.29,-3.255%,14494280995.00,United States,2021,1732055,Technology,EDP Services
ASML,ASML Holding N.V. New York Registry Shares,$508.04,-7.22,-1.401%,204537723469.00,Netherlands,1995,696503,Technology,Industrial Machinery/Components
ASX,ASE Technology Holding Co. Ltd. American Depositary Shares (each representing Two Common Shares) ,$6.33,0.05,0.796%,13549157142.00,,2018,5082447,Technology,Semiconductors
AVGO,Broadcom Inc. Common Stock,$505.71,-3.38,-0.664%,204214649067.00,United States,2009,1320700,Technology,Semiconductors
AZPN,Aspen Technology Inc. Common Stock,$196.79,-0.60,-0.304%,12234176308.00,United States,,102679,Technology,EDP Services
BIDU,Baidu Inc. ADS,$155.24,3.90,2.577%,53643261638.00,China,2005,3539841,Technology,Computer Software: Programming Data Processing
BILI,Bilibili Inc. American Depositary Shares,$28.20,0.39,1.402%,11015049353.00,China,2018,6399599,Technology,EDP Services
BILL,Bill.com Holdings Inc. Common Stock,$124.82,-5.66,-4.338%,13014716033.00,,2019,1417137,Technology,Computer Software: Prepackaged Software
BKI,Black Knight Inc. Common Stock ,$66.97,0.76,1.148%,10445035921.00,,2017,607229,Technology,Computer Software: Prepackaged Software
BSY,Bentley Systems Incorporated Class B Common Stock,$35.16,-0.42,-1.18%,10109705847.00,United States,2020,684468,Technology,Retail: Computer Software & Peripheral Equipment
CDNS,Cadence Design Systems Inc. Common Stock,$154.45,-3.17,-2.011%,42590977550.00,United States,,1193735,Technology,Computer Software: Prepackaged Software
CDW,CDW Corporation Common Stock,$165.78,1.44,0.876%,22399484062.00,United States,2013,532596,Technology,EDP Services
CHKP,Check Point Software Technologies Ltd. Ordinary Shares,$123.91,-0.19,-0.153%,15874551715.00,Israel,1996,783404,Technology,Computer Software: Prepackaged Software
CHT,Chunghwa Telecom Co. Ltd.,$43.20,-0.51,-1.167%,33512169053.00,Taiwan,,319318,Telecommunications,Telecommunications Equipment
COIN,Coinbase Global Inc. Class A Common Stock,$55.96,-6.75,-10.764%,14655924000.00,United States,,15167336,Technology,EDP Services
CRM,Salesforce Inc. Common Stock,$181.31,-4.61,-2.48%,180403450000.00,United States,2004,6170625,Technology,Computer Software: Prepackaged Software
CRWD,CrowdStrike Holdings Inc. Class A Common Stock,$181.93,-3.06,-1.654%,42220798013.00,United States,2019,2861970,Technology,EDP Services
CSCO,Cisco Systems Inc. Common Stock (DE),$43.77,-0.33,-0.748%,181249995899.00,United States,1990,22751697,Telecommunications,Computer Communications Equipment
CTSH,Cognizant Technology Solutions Corporation Class A Common Stock,$69.91,-0.35,-0.498%,36435263015.00,United States,1998,2530196,Technology,EDP Services
CTXS,Citrix Systems Inc. Common Stock,$96.76,0.17,0.176%,12247873640.00,United States,1995,660922,Technology,Computer Software: Prepackaged Software
DDOG,Datadog Inc. Class A Common Stock,$105.20,-2.28,-2.121%,33139828481.00,United States,2019,4215093,Technology,EDP Services
DELL,Dell Technologies Inc. Class C Common Stock ,$50.24,-0.01,-0.02%,37153364224.00,,2018,3329722,Technology,Computer Manufacturing
DOCU,DocuSign Inc. Common Stock,$66.19,-2.56,-3.724%,13234293360.00,United States,2018,4659479,Technology,EDP Services
DOX,Amdocs Limited Ordinary Shares,$84.68,-0.20,-0.236%,10402091200.00,Guernsey,,479901,Technology,EDP Services
DT,Dynatrace Inc. Common Stock,$42.63,-1.45,-3.289%,12228118198.00,United States,2019,3710624,Technology,EDP Services
ENPH,Enphase Energy Inc. Common Stock,$206.17,7.78,3.922%,27838772035.00,United States,2012,2765285,Technology,Electrical Products
ENTG,Entegris Inc. Common Stock,$104.62,0.72,0.693%,14216088248.00,United States,2000,2256794,Technology,Semiconductors
EPAM,EPAM Systems Inc. Common Stock,$324.81,-1.20,-0.368%,18563259510.00,United States,2012,341352,Technology,EDP Services
ERIC,Ericsson American Depositary Shares,$7.95,0.12,1.533%,26505300000.00,Sweden,,8159118,Technology,Computer Software: Prepackaged Software
FICO,Fair Isaac Corproation Common Stock,$415.03,-1.12,-0.269%,10762570411.00,United States,,153327,Technology,Computer Software: Prepackaged Software
FLT,FleetCor Technologies Inc. Common Stock,$218.75,1.25,0.575%,16918303938.00,United States,2010,645480,Technology,EDP Services
